,기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리,전 체건수
8000000,20220627,2310,ST-377,ST-387,,15,2018,2.0
8000001,20220627,10,ST-2407,ST-387,,11,1126,1.0
8000002,20220627,2055,ST-2309,ST-387,,13,1500,1.0
8000003,20220627,810,ST-2891,ST-257,,4,600,1.0
8000004,20220627,2230,ST-984,ST-2305,,15,1170,1.0
8000005,20220627,1905,ST-2308,ST-2305,,5,869,1.0
8000006,20220627,2230,ST-2308,ST-2305,,5,781,1.0
8000007,20220627,1310,ST-1661,ST-987,,6,670,1.0
8000008,20220627,1140,ST-1660,ST-987,,4,640,1.0
8000009,20220627,25,ST-377,ST-377,,0,0,1.0
8000010,20220627,2200,ST-377,ST-377,,117,370,1.0
8000011,20220627,1830,ST-2309,ST-377,,3,520,1.0
8000012,20220627,1010,ST-504,ST-387,,52,8352,1.0
8000013,20220627,945,ST-99,ST-1663,,7,284,1.0
8000014,20220627,1945,ST-483,ST-1663,,11,1600,1.0
8000015,20220627,845,ST-1722,ST-987,,9,1415,1.0
8000016,20220627,2045,ST-1378,ST-987,,9,1138,1.0
8000017,20220627,1125,ST-974,ST-987,,23,2790,1.0
8000018,20220627,2215,ST-972,ST-987,,24,720,1.0
8000019,20220627,2245,ST-2308,ST-987,,4,462,1.0
8000020,20220627,1845,ST-2571,ST-377,,11,2064,1.0
8000021,20220627,725,ST-1872,ST-254,,44,6293,1.0
8000022,20220627,530,ST-395,ST-254,,37,6960,1.0
8000023,20220627,1650,ST-2580,ST-254,,18,3850,1.0
8000024,20220627,830,ST-1660,ST-102,,14,2300,2.0
8000025,20220627,2205,ST-2314,ST-102,,70,1730,1.0
8000026,20220627,915,ST-984,ST-102,,1,360,1.0
8000027,20220627,1605,ST-102,ST-102,,29,1150,1.0
8000028,20220627,2135,ST-258,ST-1663,,4,680,1.0
8000029,20220627,2310,ST-2547,ST-1663,,2,600,1.0
8000030,20220627,1025,ST-102,ST-1663,,8,1090,1.0
8000031,20220627,2330,ST-102,ST-1663,,4,740,1.0
8000032,20220627,915,ST-99,ST-1660,,4,780,1.0
8000033,20220627,950,ST-99,ST-1660,,3,935,1.0
8000034,20220627,2120,ST-99,ST-1660,,5,848,1.0
8000035,20220627,1155,ST-1660,ST-98,,60,1680,1.0
8000036,20220627,1800,ST-1660,ST-98,,13,800,1.0
8000037,20220627,945,ST-2305,ST-98,,4,656,1.0
8000038,20220627,1840,ST-1663,ST-98,,7,1200,1.0
8000039,20220627,1705,ST-86,ST-1751,,5,636,1.0
8000040,20220627,1645,ST-84,ST-1751,,10,935,1.0
8000041,20220627,1815,ST-80,ST-1751,,11,1690,1.0
8000042,20220627,2200,ST-2165,ST-1751,,22,2668,2.0
8000043,20220627,2125,ST-2149,ST-1751,,12,1100,1.0
8000044,20220627,1855,ST-453,ST-2780,,7,1380,1.0
8000045,20220627,1820,ST-481,ST-1480,,25,3650,1.0
