,20220901,0,0000,ST-910,월곡2동_015_1,ST-2935,안암동_024_1,1,14,2405
9000000,20220930,1,2350,ST-201,아현동_049_1,ST-201,아현동_049_1,1,0,0.0
9000001,20220930,0,2350,ST-2451,한강로동_017_1,ST-334,한강로동_017_2,1,1,270.0
9000002,20220930,0,2350,ST-563,길음1동_075_2,ST-565,종암동_048_1,1,6,1574.03
9000003,20220930,0,2350,ST-1813,창신1동_010_1,ST-1813,창신1동_010_1,1,0,0.0
9000004,20220930,1,2350,ST-714,은천동_051_1,ST-714,은천동_051_1,1,0,0.0
9000005,20220930,1,2350,ST-293,영등포동_008_1,ST-1353,영등포본동_044_1,1,12,1876.88
9000006,20220930,1,2350,ST-1938,가산동_003_4,ST-936,구로3동_037_2,1,11,1850.0
9000007,20220930,0,2350,ST-520,가양3동_011_3,ST-1509,가양3동_015_1,1,2,400.0
9000008,20220930,0,2350,ST-2996,신사동_020_1,ST-702,신림동_029_1,1,3,695.45
9000009,20220930,0,2350,ST-2337,왕십리도선동_028_3,ST-2337,왕십리도선동_028_3,1,3,83.27
9000010,20220930,1,2350,ST-17,홍은2동_001_1,ST-17,홍은2동_001_1,1,74,3570.0
9000011,20220930,1,2350,ST-1740,공릉2동_021_1,ST-2896,공릉1동_068_1,1,46,876.4
9000012,20220930,1,2350,ST-1793,가락1동_001_2,ST-1793,가락1동_001_2,1,48,1860.0
9000013,20220930,0,2350,ST-1419,장지동_003_1,ST-1075,문정1동_029_1,1,4,670.0
9000014,20220930,1,2350,ST-349,북가좌1동_008_1,ST-95,상암동_022_1,1,5,1150.0
9000015,20220930,1,2350,ST-2342,용답동_004_1,ST-1447,전농2동_037_1,1,10,1980.0
9000016,20220930,0,2350,ST-2601,잠실4동_022_1,ST-1409,잠실4동_055_1,1,4,470.0
9000017,20220930,0,2350,ST-1268,보라매동_002_1,ST-1268,보라매동_002_1,1,0,0.0
9000018,20220930,0,2350,ST-2564,문래동_026_1,ST-2564,문래동_026_1,1,1,0.0
9000019,20220930,0,2350,ST-161,종로5·6가동_007_2,ST-161,종로5·6가동_007_2,1,6,660.0
9000020,20220930,0,2350,ST-2308,화양동_041_2,ST-99,자양3동_050_1,1,5,974.31
9000021,20220930,0,2350,ST-2726,창4동_004_1,ST-2967,창4동_048_1,1,2,0.0
9000022,20220930,0,2350,ST-2988,위례동_001_4,ST-549,거여1동_019_2,1,2,0.0
9000023,20220930,0,2350,ST-1298,장안1동_065_1,ST-2268,장안1동_010_1,1,4,812.13
9000024,20220930,0,2350,ST-1137,창5동_001_1,ST-658,창5동_004_1,1,4,910.0
9000025,20220930,0,2350,ST-2016,목1동_044_1,ST-1996,목1동_049_1,1,3,460.0
9000026,20220930,0,2350,ST-924,사당1동_002_1,ST-729,사당1동_009_1,1,4,687.65
9000027,20220930,0,2350,ST-676,고척2동_035_1,ST-920,개봉1동_051_3,1,5,1125.87
9000028,20220930,0,2350,ST-1088,잠실2동_050_1,ST-1705,잠실2동_066_1,1,3,618.69
9000029,20220930,0,2350,ST-371,송정동_019_2,ST-371,송정동_019_2,1,0,0.0
9000030,20220930,0,2350,ST-204,용강동_030_1,ST-206,용강동_021_1,1,2,500.0
9000031,20220930,0,2350,ST-1224,구로3동_042_1,ST-1753,구로3동_042_2,1,1,380.0
9000032,20220930,0,2350,ST-566,중화2동_038_2,ST-1097,면목2동_028_1,1,6,310.6
9000033,20220930,0,2350,ST-456,갈현2동_038_1,ST-454,대조동_024_1,1,3,470.0
9000034,20220930,0,2350,ST-1352,발산1동_070_1,ST-2993,발산1동_060_2,1,3,890.0
9000035,20220930,0,2350,ST-2933,휘경1동_022_1,ST-1302,휘경2동_027_1,1,5,780.0
9000036,20220930,0,2350,ST-1493,홍은2동_003_1,ST-2785,응암1동_013_1,1,4,881.0
9000037,20220930,0,2350,ST-1839,성내3동_034_1,ST-2738,둔촌2동_002_1,1,3,1890.0
9000038,20220930,0,2350,ST-102,자양1동_003_1,ST-2305,자양3동_002_1,1,3,915.76
9000039,20220930,0,2350,ST-377,구의3동_027_1,ST-1722,구의2동_042_1,1,6,830.0
9000040,20220930,0,2350,ST-2876,방이2동_012_2,ST-2797,방이2동_012_1,1,3,2431.95
9000041,20220930,0,2350,ST-90,상암동_025_9,ST-92,상암동_055_1,1,5,741.77
9000042,20220930,0,2350,ST-1996,목1동_049_1,ST-310,목4동_047_1,1,6,923.2
9000043,20220930,0,2350,ST-201,아현동_049_1,ST-201,아현동_049_1,1,0,0.0
9000044,20220930,0,2350,ST-1325,남영동_001_1,ST-2173,한강로동_004_1,1,5,931.23
9000045,20220930,0,2350,ST-714,은천동_051_1,ST-714,은천동_051_1,1,0,0.0
9000046,20220930,0,2350,ST-1807,종로1·2·3·4가동_002_3,ST-1810,종로1·2·3·4가동_002_5,1,3,637.53
9000047,20220930,0,2350,ST-1215,안암동_023_1,ST-827,안암동_030_1,1,2,610.0
9000048,20220930,0,2350,ST-1735,서초1동_030_1,ST-1404,서초1동_018_1,1,7,840.0
9000049,20220930,0,2350,ST-2045,가양1동_039_16,ST-2036,가양1동_039_12,1,4,695.93
9000050,20220930,0,2350,ST-368,성수2가3동_002_3,ST-2466,성수1가2동_006_1,1,3,770.0
9000051,20220930,0,2350,ST-1543,신대방2동_027_2,ST-2826,신대방1동_014_1,1,7,1210.0
9000052,20220930,0,2350,ST-984,자양1동_008_1,ST-2308,화양동_041_2,1,7,1357.42
9000053,20220930,0,2350,ST-1996,목1동_049_1,ST-2761,신정4동_015_1,1,5,800.0
9000054,20220930,0,2350,ST-2459,번1동_005_1,ST-2137,번1동_030_2,1,3,572.6
9000055,20220930,0,2350,ST-842,삼선동_005_1,ST-1818,혜화동_037_1,2,10,1490.06
9000056,20220930,0,2350,ST-2593,잠실2동_031_1,ST-1797,잠실2동_024_1,1,2,30.0
9000057,20220930,0,2350,ST-2292,묵1동_001_1,ST-2292,묵1동_001_1,1,6,797.1
9000058,20220930,0,2350,ST-2676,세곡동_007_1,ST-1892,세곡동_048_1,1,3,480.0
9000059,20220930,0,2350,ST-2931,독산1동_041_2,ST-2931,독산1동_041_2,1,0,0.0
9000060,20220930,1,2355,ST-1813,창신1동_010_1,ST-1216,보문동_006_1,1,13,2098.58
9000061,20220930,0,2355,ST-691,상도1동_049_1,ST-691,상도1동_049_1,1,0,0.0
9000062,20220930,0,2355,ST-445,군자동_030_1,ST-114,군자동_020_1,1,2,381.13
9000063,20220930,0,2355,ST-173,혜화동_039_1,ST-156,혜화동_001_1,1,2,0.0
9000064,20220930,1,2355,ST-99,자양3동_050_1,ST-2278,장안2동_049_1,1,76,11630.0
9000065,20220930,0,2355,ST-2000,목3동_001_1,ST-530,등촌2동_018_1,1,4,720.0
9000066,20220930,0,2355,ST-2223,석관동_001_1,ST-2075,월계3동_041_1,1,1,0.0
9000067,20220930,1,2355,ST-2767,신월1동_041_1,ST-1011,신월1동_012_1,1,3,840.0
9000068,20220930,1,2355,ST-2946,염창동_001_1,ST-1508,염창동_055_3,1,35,6814.94
9000069,20220930,1,2355,ST-749,반포3동_013_1,ST-810,역삼1동_053_2,1,57,8483.1
9000070,20220930,1,2355,ST-14,연희동_047_1,ST-342,성산1동_015_1,1,26,1990.0
9000071,20220930,1,2355,ST-2167,서교동_023_1,ST-210,성산1동_009_1,1,7,1280.0
9000072,20220930,1,2355,ST-368,성수2가3동_002_3,ST-262,장안2동_053_1,1,47,9680.0
9000073,20220930,1,2355,ST-227,남가좌2동_023_1,ST-341,연남동_016_1,1,7,935.52
9000074,20220930,1,2355,ST-99,자양3동_050_1,ST-99,자양3동_050_1,2,54,10918.21
9000075,20220930,1,2355,ST-2902,영등포본동_014_1,ST-1985,영등포본동_036_1,1,12,1769.01
9000076,20220930,0,2355,ST-1729,삼전동_046_1,ST-2918,삼전동_046_2,1,1,296.76
9000077,20220930,1,2355,ST-660,독산1동_031_2,ST-660,독산1동_031_2,1,96,27810.0
9000078,20220930,1,2355,ST-2918,삼전동_046_2,ST-1859,석촌동_003_1,1,7,1311.92
9000079,20220930,0,2355,ST-2264,역촌동_073_1,ST-479,역촌동_068_1,1,3,531.51
9000080,20220930,0,2355,ST-2909,강일동_044_2,ST-2909,강일동_044_2,1,1,88.15
9000081,20220930,0,2355,ST-546,잠실본동_005_1,ST-1728,잠실본동_030_1,1,2,300.0
9000082,20220930,0,2355,ST-3041,대림3동_004_1,ST-3040,대림3동_024_1,1,2,160.0
9000083,20220930,0,2355,ST-170,가회동_004_1,ST-1804,삼청동_001_3,1,2,760.0
9000084,20220930,0,2355,ST-974,화양동_041_5,ST-974,화양동_041_5,1,0,0.0
9000085,20220930,0,2355,ST-2095,도봉2동_003_1,ST-2095,도봉2동_003_1,1,0,0.0
9000086,20220930,0,2355,ST-97,화양동_040_1,ST-97,화양동_040_1,1,3,21.73
9000087,20220930,0,2355,ST-2056,발산1동_037_1,ST-2058,발산1동_033_1,1,2,381.13
9000088,20220930,0,2355,ST-479,역촌동_068_1,ST-2264,역촌동_073_1,1,3,444.78
9000089,20220930,0,2355,ST-513,가양1동_049_1,ST-513,가양1동_049_1,1,0,0.0
9000090,20220930,0,2355,ST-1228,개봉1동_062_1,ST-1228,개봉1동_062_1,1,0,88.32
9000091,20220930,0,2355,ST-2018,염창동_055_4,ST-1508,염창동_055_3,1,3,300.0
9000092,20220930,0,2355,ST-2317,중곡2동_014_1,ST-983,중곡1동_022_1,2,6,599.77
9000093,20220930,0,2355,ST-2702,하계1동_043_1,ST-2702,하계1동_043_1,1,0,0.0
9000094,20220930,0,2355,ST-2944,가양1동_029_1,ST-2944,가양1동_029_1,1,2,0.0
