field4,field9,위도,경도
서울여자대학교,서울특별시 노원구 화랑로 621 서울여자대학교,37.62932154152541,127.09047573024394
서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지),37.58301758589966,127.06086454592345
성균관대학교,서울 종로구 명륜동3가 성균관대학교,37.59908120814024,126.96678058816009
서일대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,37.59535196339767,127.09314695691663
서울여자간호대학교,서울 서대문구 홍제3동 서울여자간호대학,37.59701385139501,126.956462174043
성공회대학교,서울 구로구 항동 성공회대학교,37.48108349436957,126.825937400991
세종대학교,서울 광진구 군자동 세종대학교,37.553274564192606,127.0738249669393
숙명여자대학교,서울 용산구 청파로47길 100 숙명여자대학교,37.54597494161072,126.96576818998054
숭실대학교,서울 동작구 상도동 511 숭실대학교,37.49635390534466,126.95722220930047
숭의여자대학교,서울특별시 중구 소파로2길 10(예장동),37.556770005905264,126.98722886069334
이화여자대학교,서울 서대문구 대현동 11-1 이화여자대학교,37.562560741264704,126.94745357181978
성신여자대학교,서울 성북구 동선동3가 성신여자대학교,37.594669329505855,127.01989529256869
인덕대학교,서울 노원구 초안산로 12,37.6301954662465,127.05598291077212
적십자간호대학,서울 종로구 경교장길8,37.56741592836197,126.96630515192058
장로회신학대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,37.54990942090829,127.10265655661068
총신대학교,서울 동작구 사당동 산31-3,37.49076075687207,126.967126225465
연세대학교,서울 서대문구 신촌동 연세대학교,37.558813772086644,126.93419306936421
추계예술대학교,서울 서대문구 북아현동 190-1 추계예술대학교,37.56271302571616,126.95332729870222
한국외국어대학교,서울 동대문구 이문로 107,37.59794560472638,127.05698595280884
한국성서대학교,서울 노원구 상계7동 한국성서대학교,37.68055528413508,127.08909220208393
한국방송통신대학교,서울 종로구 동숭동 한국방송통신대학교,37.581613155194546,127.00477066893095
한국체육대학교,서울 송파구 오륜동 한국체육대학교,37.516324957597256,127.12722229777918
중앙대학교 서울캠퍼스,서울 동작구 흑석로 84,37.50407106500474,126.95785637762307
한국예술종합학교,서울 성북구 석관동,37.607909311064866,127.06122675906364
한국폴리텍Ⅰ대학 서울정수캠퍼스,서울 용산구 보광로 73(보광동 238),37.529232076727396,126.99711270286805
한국폴리텍 I 대학 서울강서캠퍼스,서울 강서구 화곡동 산60-1,37.55040117711938,126.84355308227423
한양대학교,서울특별시 성동구 왕십리로 222,37.558275657743444,127.04822973983063
가톨릭대학교,서울 종로구 창경궁로 296-12(혜화동),37.58562355585642,127.004665514509
한양여자대학교,서울 성동구 행당동 살곶이길 200,37.55368106136712,127.04203981972968
한영신학대학교,서울 구로구 경인로 290-42  한영신학대학교,37.49661393237777,126.85172977875277
감리교신학대학교,서울 서대문구 냉천동 감리교신학대학,37.56750936461473,126.96314066935261
홍익대학교,서울특별시 마포구 와우산로 94(상수동),37.55147184357177,126.9272224101911
경기대학교,서울 서대문구 경기대로9길 24 경기대학교,37.5644770688536,126.96222896729425
가톨릭대학교,서울 서초구 반포동 505,37.50007928502015,127.00524701810379
건국대학교,서울 광진구 화양동,37.5436103476893,127.07307994429681
한성대학교,서울 성북구 삼선동3가 389 한성대학교,37.603363124377566,127.02904534410098
고려대학교,서울 성북구 안암동 고려대학교,37.58870137456478,127.02147841046806
덕성여자대학교,서울특별시 도봉구 삼양로 144길 33,37.650893028159544,127.01834082209342
광운대학교,서울특별시 노원구 월계동 447-1,37.61970304786747,127.05967087452959
국민대학교,서울 성북구 정릉3동 국민대학교,37.6055838355652,127.01819490883358
국제예술대학,서울 강남구 논현동 79,37.516905962378026,127.03100418174456
동양미래대학교,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),37.49999654970655,126.86816998833285
동덕여자대학교,서울 성북구 하월곡2동 동덕여자대학교,37.60514386256094,127.0466804173292
동국대학교,서울 중구 필동3가 동국대학교,37.5605367806019,126.99703878554108
그리스도대학교,서울 강서구 화곡6동 그리스도대학교,37.55253790304085,126.84457474756238
경희대학교,서울 동대문구 회기동 경희대학교,37.594536566503045,127.05095805579656
삼육대학교,서울시 노원구 화랑로 815(공릉2동 26-21),37.64500080403033,127.10542081966743
명지대학교 인문캠퍼스,서울 서대문구 남가좌동 50-3,37.580226259436984,126.92312048681747
명지전문대학,서울 서대문구 가좌로 134 명지전문대학,37.58458220704707,126.92581467672065
배화여자대학교,서울 종로구 필운대로 1길 34 배화여자대학교,37.57929545175773,126.9652633762108
상명대학교,서울 종로구 홍지동 상명대학교,37.60057092152406,126.95637791888254
삼육보건대학교,서울 동대문구 휘경2동,37.593333338493146,127.06886169152641
백석예술대학교,서울 서초구 방배로9길 23 백석예술대학교,37.4802019745262,126.99629132281646
사이버한국외국어대학교,서울 동대문구 이문동 한국외국어대학교,37.59939530940626,127.06231980776214
서강대학교,서울 마포구 신수동 서강대학교,37.5432566386123,126.93053307686326
서울과학기술대학교,서울 노원구 공릉로 232 (공릉동 172),37.633801912898285,127.08092338383769
서울과학기술대학교,서울시 노원구 공릉로 232 서울과학기술대학교,37.633801912898285,127.08092338383769
디지털서울문화예술대학교,서울시 서대문구 통일로 37길 60 (홍제동 318-18),37.58544475956454,126.94388023790037
서울디지털대학교,서울 마포구 도화동 560번지,37.542967758219895,126.94785550383557
서울교육대학교,서울 서초구 서초중앙로 96(서초동 1650),37.48876278978511,127.01517876299731
서울사이버대학교,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,37.6298000835968,127.027516210699
서울대학교,서울 관악구 관악로 1 서울대학교,37.45425042511299,126.9502881081776
서울기독대학교,서울 은평구 갈현로 4길 26-2호,37.600757307197966,126.91219238660315
서경대학교,서울 성북구 정릉4동 서경대학교,37.60503643556306,127.01833159357975
