,학교명,소재지지번주소,소재지도로명주소,위도,경도
0,경기고등학교,서울특별시 강남구 삼성동 74-4,서울특별시 강남구 영동대로 643 . 경기고등학교 (삼성동),37.5175645399,127.0560755056
1,서울용산초등학교,서울특별시 용산구 한강로2가 1,서울특별시 용산구 한강대로57길 33 (한강로2가.용산초등학교),37.5356134429,126.9725506245
2,대명중학교,서울특별시 강남구 대치동 952,서울특별시 강남구 역삼로87길 26 . 서울대명중학교 (대치동. 대명중학교),37.5063364061,127.0609848839
3,상명중학교,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553 (중계동.상명중학교),37.649547807,127.0680416074
4,오류중학교,서울특별시 구로구 고척동 243,서울특별시 구로구 고척로27바길 19 (고척동),37.5078622238,126.8462113272
5,서울버들초등학교,서울특별시 송파구 잠실동 35-6,서울특별시 송파구 석촌호수로 81 . 서울버들초등학교 (잠실동),37.51028143,127.0889991963
6,서울청담초등학교,서울특별시 강남구 청담동 142,서울특별시 강남구 압구정로71길 9 (청담동.청담초등학교),37.5282818704,127.0451530247
7,서울배봉초등학교,서울특별시 동대문구 전농동 3-111,서울특별시 동대문구 사가정로 193 (전농동. 서울배봉초등학교),37.5800841621,127.066871936
8,서울금호초등학교,서울특별시 성동구 금호동2가 511,서울특별시 성동구 무수막길 69 . 서울금호초등학교 (금호동2가),37.5519649685,127.0197434185
9,서울일원초등학교,서울특별시 강남구 일원동 691,서울특별시 강남구 영동대로4길 20 (일원동.일원초등학교),37.4897880793,127.0763669
10,대일관광고등학교,서울특별시 양천구 신정동 1318-3,서울특별시 양천구 신정이펜1로 11 . 대일관광고등학교 (신정동. 대일관광고등학교),37.5114137684,126.8349067147
11,한광고등학교,서울특별시 강서구 화곡동 488-2,서울특별시 강서구 등촌로13길 110 (화곡동),37.5388437129,126.857922
12,상일미디어고등학교,서울특별시 강동구 상일동 189,서울특별시 강동구 천호대로219길 61 . 상일미디어고등학교 (상일동),37.5494699071,127.1707668179
13,선정국제관광고등학교,서울특별시 은평구 갈현동 227-5,서울특별시 은평구 서오릉로20길 19 . 선정국제관광고등학교 (갈현동),37.6187045126,126.9090316117
14,서울성일초등학교,서울특별시 강동구 성내동 531,서울특별시 강동구 성내로15길 33 . 서울성일초등학교 (성내동),37.5297092388,127.128408263
15,명일여자고등학교,서울특별시 강동구 명일동 40,서울특별시 강동구 명일로 350 (명일동.명일여자고등학교),37.5497763325,127.1495815067
16,서울용답초등학교,서울특별시 성동구 용답동 29,서울특별시 성동구 용답25길 1 (용답동. 용답초등학교),37.56073011,127.053760797
17,서울고원초등학교,서울특별시 구로구 고척동 66-26,서울특별시 구로구 경인로46길 13 (고척동. 서울고원초등학교),37.4976112203,126.8657992701
18,동구여자중학교,서울특별시 성북구 성북동 168-275,서울특별시 성북구 성북로8길 71 (성북동.동구여자중학교),37.5941935,127.0082153124
19,이수중학교,서울특별시 서초구 방배동 974-22,서울특별시 서초구 방배중앙로3길 32 (방배동. 이수중학교),37.4806300322,126.9898590453
20,서울면북초등학교,서울특별시 중랑구 망우동 119,서울특별시 중랑구 용마공원로5길 32 . 서울면북초등학교 (망우동),37.5944181555,127.1035478001
21,한강미디어고등학교,서울특별시 영등포구 양평동4가 315-1,서울특별시 영등포구 선유로55길 22 (양평동4가.한강미디어고등학교),37.5392914501,126.897259875
22,서울관악초등학교,서울특별시 관악구 봉천동 920,서울특별시 관악구 청룡4길 49 . 관악초등학교 (봉천동.관악초등학교),37.4810256508,126.9425544902
23,구로중학교,서울특별시 구로구 구로동 90,서울특별시 구로구 구로중앙로 48 (구로동),37.4948597203,126.8910999146
24,명덕여자고등학교,서울특별시 강서구 내발산동 169-1,서울특별시 강서구 강서로47길 34-10 (내발산동),37.5539439881,126.8342914482
25,서일문화예술고등학교,서울특별시 종로구 창신동 13-80,서울특별시 종로구 지봉로17길 49 . 서일국제경영고등학교 (창신동. 서일국제경영고등학교),37.5793793625,127.0127598
26,휘문고등학교,서울특별시 강남구 대치동 952-1,서울특별시 강남구 역삼로 541 (대치동),37.5052894535,127.0619938806
27,서라벌중학교,서울특별시 강북구 우이동 103-9,서울특별시 강북구 삼양로155길 37-9 . 서라벌중학교 (우이동),37.6569840292,127.0114883283
28,신현중학교,서울특별시 중랑구 상봉동 483,서울특별시 중랑구 봉화산로 162 . 신현중학교 (상봉동),37.60441346,127.0915327975
29,문정중학교,서울특별시 송파구 문정동 12-1,서울특별시 송파구 문정로 73 (문정동. 문정중학교),37.4884809493,127.130020851
30,서울미동초등학교,서울특별시 서대문구 미근동 36-1,서울특별시 서대문구 충정로 52 (미근동. 서울미동초등학교),37.5633505669,126.9658506
