,Unnamed: 0,Unnamed: 0.1,No,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter,public_transport_in_100m,schools_in_100m,unis_in_100m,total_schools_in_100m,public_places_and_schools_in_100m,대여소_ID,borrow_count,return_count,balance_rate
241,0,0,0, 경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞,37.57579422,126.9714508,사직로12길,내자동,경복궁,183.7,0,서울경찰청.경복궁역,6.2,5,0,0,0,0,ST-117,27924,20197,-0.1605743854034621
947,1,1,1, 경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.9740601,사직로,적선동,경복궁,51.1,0,경복궁역(효자로입구),76.2,3,0,0,0,0,ST-118,49420,47929,-0.015316027899618896
772,2,2,2, 광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189 세종로공원,37.57176971,126.9746628,세종대로23길,당주동,광화문,195.5,0,광화문,161.8,0,0,0,0,0,ST-119,54335,51478,-0.027000463081095896
1065,3,3,3, 종로구청 옆,종로구,서울특별시 종로구 세종로 84-1,37.57255936,126.9783325,종로1길,세종로,광화문,224.9,0,KT광화문지사,95.8,1,0,0,0,0,ST-121,33421,32736,-0.010354157534350107
1147,4,4,4, 서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55 서울역사박물관 앞,37.56999969,126.9710999,경희궁1길,신문로2가,광화문,505.0,3,서울역사박물관.경교장.강북삼성병원,13.3,4,0,0,0,3,ST-123,23216,22869,-0.007529564934360421
991,5,5,5, 광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82 광화문S타워 앞,37.56996918,126.973938,덕수궁길,신문로1가,광화문,268.3,0,광화문.금호아시아나본관앞,22.1,3,0,0,0,0,ST-124,40622,39548,-0.013396532368716477
457,6,6,6, 광화문역 6번출구 옆 B,종로구,서울특별시 종로구 새문안로 102-2 가로판매대,37.56996155,126.9761581,세종대로21길,신문로1가,광화문,126.5,0,광화문역,9.3,7,0,0,0,0,ST-125,18818,16206,-0.07457743261763362
1806,7,7,7, 국립현대미술관,종로구,서울특별시 종로구 삼청로 30 국립현대미술관 서울관,37.5797081,126.9808579,삼청로2길,소격동,안국,541.0,2,정독도서관,79.0,1,0,0,0,2,ST-130,27905,28423,0.009196136912370402
1285,8,8,8, 종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.9817886,종로7길,종로1가,종각,103.6,2,종로1가,38.5,5,0,0,0,2,ST-132,46944,46626,-0.0033985251683231804
354,9,9,9, 안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.57624054,126.9861603,율곡로,경운동,안국,68.6,0,안국역.인사동,56.0,4,0,0,0,0,ST-142,34995,28361,-0.10470989330134478
1198,10,10,10, 낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.57335663,126.9874649,인사동4길,낙원동,안국,389.7,0,낙원상가,38.8,2,0,0,0,0,ST-143,31914,31550,-0.005735535106517081
688,11,11,11, 탑골공원 앞,종로구,서울특별시 종로구 종로 99 탑골공원 앞,37.57039642,126.9881897,삼일대로20길,종로2가,종로3가,346.6,1,인사동.탑골공원,62.3,4,0,0,0,1,ST-144,18630,17395,-0.03428174878556558
541,12,12,12, 청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93 파고다타워,37.56848526,126.9878845,청계천로,관철동,을지로3가,430.8,0,청계2가교차로,0.8,6,0,0,0,0,ST-145,36431,32450,-0.05779532817467807
744,13,13,13, 종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.5705986,126.9917908,수표로22길,종로3가,종로3가,111.9,1,종로3가.1.3.5호선,62.9,3,0,0,0,1,ST-150,33258,31408,-0.028608542356106763
1306,14,14,14, 종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129 15번출구 앞,37.57019806,126.9912567,종로18길,종로3가,종로3가,163.7,1,종로3가,25.6,2,0,0,0,1,ST-151,22397,22271,-0.0028208113190651024
1745,15,15,15, 창경궁 입구,종로구,서울특별시 종로구 창경궁로 185 창경궁 입구,37.57897949,126.9964752,창경궁로,와룡동,혜화,603.1,0,창경궁,10.8,5,0,0,0,0,ST-153,15310,15544,0.007584105788552537
1311,16,16,16, 세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109 세운스퀘어 앞,37.57095718,126.9971237,창경궁로13길,종로4가,을지로4가,453.7,0,종로4가,63.3,3,0,0,0,0,ST-154,23578,23449,-0.0027431050247730027
1116,17,17,17, 종로4가 사거리,종로구,서울특별시 종로구 종로 185 종로4가 사거리,37.57106781,126.9981918,종로,종로4가,종로5가,323.5,1,종로5가.광장시장,67.6,3,0,0,0,1,ST-155,28181,27712,-0.00839103286636967
1594,18,18,18, 혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1 혜화동 로터리,37.58562851,127.000679,혜화로,혜화동,혜화,379.6,0,혜화동로터리,15.6,4,0,0,0,0,ST-156,34595,34868,0.003930149863956351
1615,19,19,19, 혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤,37.58156967,127.0017853,대학로,명륜4가,혜화,85.2,0,혜화역3번출구,41.1,6,0,0,0,0,ST-157,27396,27641,0.004451550774933226
1725,20,20,20, 대학로 마로니에공원,종로구,서울특별시 종로구 대학로 104 대학로 마로니에공원,37.57978439,127.002533,대학로,동숭동,혜화,289.7,2,방송통신대앞,129.7,0,0,0,0,2,ST-158,54787,55567,0.007068162458995596
1083,21,21,21, 예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 충신동 60,37.57561111,127.0046997,율곡로,충신동,종로5가,577.8,0,충신시장,94.0,1,0,0,0,0,ST-159,11443,11221,-0.009795270031768444
1110,22,22,22, 성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.57403564,127.0067215,율곡로,충신동,동대문,394.5,0,충신동,39.1,2,0,0,0,0,ST-160,26562,26109,-0.008600558181921741
1275,23,23,23, 서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.0007095,종로31가길,연지동,종로5가,282.8,1,종로5가.효제초등학교,135.4,0,0,0,0,1,ST-161,29354,29141,-0.0036413368663988374
275,24,24,24, 독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.9607849,통일로,교북동,독립문,389.3,1,교남동주민센터,45.8,3,0,0,0,1,ST-183,26914,20206,-0.14235993208828523
817,25,25,25, 사직동주민센터,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.9685898,사직로9가길,사직동,경복궁,441.0,1,사직동주민센터,30.4,2,0,0,0,1,ST-165,16072,15324,-0.023824691043445024
760,26,26,26, 청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.58507919,126.9706192,자하문로28길,청운동,경복궁,1065.6,0,경복고교,37.7,2,0,0,0,0,ST-167,14828,14033,-0.027545823083053256
118,27,27,27, 중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191 중앙고입구 삼거리,37.58341599,126.9852371,창덕궁길,가회동,안국,770.4,0,사우디대사관,49.7,4,0,0,0,0,ST-168,7266,3867,-0.3053085421719213
1552,28,28,28, 재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19 재동초교 앞 삼거리,37.57938766,126.9849472,북촌로5길,재동,안국,326.0,1,아름다운가게.정독도서관,54.6,4,1,0,1,2,ST-169,22556,22697,0.0031158155260424722
225,29,29,29, 포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3 포르투갈 대사관 앞,37.57915497,126.9889603,창덕궁1길,원서동,안국,430.0,1,볼링장,89.2,1,0,0,0,1,ST-170,22745,15940,-0.17590797466718366
1377,30,30,30, 서울사대부속초교 앞,종로구,서울특별시 종로구 연건동 178-3 서울사대부속초교 앞,37.57650757,127.0024567,율곡로,연건동,종로5가,621.8,0,이화사거리,39.6,5,0,0,0,0,ST-171,28852,28803,-0.0008498829242910415
1826,31,31,31, KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65 KT혜화지사 앞,37.57714462,127.0020599,율곡로,연건동,혜화,576.5,0,이화사거리,22.3,3,0,0,0,0,ST-172,24300,24783,0.009840474298637002
1232,32,32,32, 성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.58250046,126.9985352,창경궁로,명륜4가,혜화,292.8,0,명륜3가.성대입구,25.6,2,0,0,0,0,ST-173,22800,22591,-0.0046044370029300966
1871,33,33,33, 원남동사거리,종로구,서울특별시 종로구 율곡로 169 원남동사거리,37.57606125,126.9976807,창경궁로22길,원남동,종로5가,678.6,0,원남로터리,24.6,3,0,0,0,0,ST-174,25488,26073,0.011345784604643043
1887,34,34,34, 동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.0159073,종로56길,숭인동,동묘앞,82.4,2,동묘역.롯데캐슬,87.9,6,0,0,0,2,ST-175,74255,76038,0.011863493309734985
1705,35,35,35, 청계8가 사거리,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57222366,127.0227051,난계로25길,숭인동,신설동,400.8,0,청계8가.황학교,12.6,2,0,0,0,0,ST-176,45048,45644,0.006571693203369647
1624,36,36,36, 신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285,보문로1길,숭인동,신설동,200.3,1,신설동로터리,37.9,4,0,0,0,1,ST-177,42968,43374,0.004702230664103218
460,37,37,37, 창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.0150833,지봉로,창신동,창신,38.8,1,숭인1동주민센터.창신역4번출구,74.7,2,0,0,0,1,ST-178,10672,9200,-0.07407407407407407
308,38,38,38, 독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57384872,126.9586945,통일로,무악동,독립문,115.8,0,독립문역,38.9,3,0,0,0,0,ST-180,28636,22444,-0.12122161315583399
2416,39,39,39, SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.9805374,종로,서린동,종각,233.8,1,서린동.SK서린빌딩,23.8,3,0,0,0,1,ST-181,35374,38328,0.040080323464763506
403,40,40,40, 광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5 광화문 시민열린마당,37.57549286,126.9785004,종로1길,세종로,광화문,521.5,0,경복궁,23.7,1,0,0,0,0,ST-182,29013,24407,-0.08622238861849495
1143,41,41,41, 종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.9826584,청계천로,서린동,종각,43.0,1,종각역,54.7,3,0,0,0,1,ST-336,33591,33080,-0.00766450180738252
1003,42,42,42, 동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,혜화로2길,혜화동,혜화,377.9,0,혜화동로터리.여운형활동터,57.6,5,0,0,0,0,ST-444,10776,10500,-0.012972363226170333
