,보관소(대여소)명,자치구,위도,경도,public_place_in_100m,public_transport_in_100m,total_schools_in_100m,population_per_station,area_per_station,거치대 개수
0, 경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,0,5,0,25,160.42,20
1, 경복궁역 4번출구 뒤,종로구,37.57594681,126.9740601,0,3,0,9,172.93,12
2, 광화문역 1번출구 앞,종로구,37.57176971,126.9746628,0,0,0,0,0,8
3, 종로구청 옆,종로구,37.57255936,126.9783325,0,1,0,0,0,16
4, 서울역사박물관 앞,종로구,37.56999969,126.9710999,3,4,0,0,16,11
5, 광화문 S타워 앞,종로구,37.56996918,126.973938,0,3,0,7,340.34,31
6, 광화문역 6번출구 옆 B,종로구,37.56996155,126.9761581,0,7,0,0,287.91,13
7, 국립현대미술관,종로구,37.5797081,126.9808579,2,1,0,0,0,10
8, 종각역 1번출구 앞,종로구,37.57039642,126.9817886,2,5,0,0,0,8
9, 안국역 5번출구 앞,종로구,37.57624054,126.9861603,0,4,0,0,598.47,19
10, 낙원상가 옆,종로구,37.57335663,126.9874649,0,2,0,306,884.53,10
11, 탑골공원 앞,종로구,37.57039642,126.9881897,1,4,0,18.5,271.185,11
12, 청계2가 사거리 옆,종로구,37.56848526,126.9878845,0,6,0,0,0,8
13, 종로3가역 2번출구 뒤,종로구,37.5705986,126.9917908,1,3,0,56,541.89,10
14, 종로3가역 15번출구 앞,종로구,37.57019806,126.9912567,1,2,0,51,400.94,10
15, 창경궁 입구,종로구,37.57897949,126.9964752,0,5,0,0,0,5
16, 세운스퀘어 앞,종로구,37.57095718,126.9971237,0,3,0,0,181.31,18
17, 종로4가 사거리,종로구,37.57106781,126.9981918,1,3,0,0,45.11,10
18, 혜화동 로터리,종로구,37.58562851,127.000679,0,4,0,0,81.08,8
19, 혜화역 3번출구 뒤,종로구,37.58156967,127.0017853,0,6,0,0,203.3,8
20, 대학로 마로니에공원,종로구,37.57978439,127.002533,2,0,0,0,123.94,22
21, 예일빌딩(율곡로) 앞,종로구,37.57561111,127.0046997,0,1,0,52,293.31,6
22, 성균관대 E하우스 앞,종로구,37.57403564,127.0067215,0,2,0,103,251.35,10
23, 서울보증보험본사 앞,종로구,37.57330704,127.0007095,1,0,0,0,456.5,18
24, 독립문역 사거리,종로구,37.57202911,126.9607849,1,3,0,0,0,14
25, 사직동주민센터,종로구,37.57633209,126.9685898,1,2,0,76,66.52,7
26, 청운초교 앞 삼거리,종로구,37.58507919,126.9706192,0,2,0,141,163.96,8
27, 중앙고입구 삼거리,종로구,37.58341599,126.9852371,0,4,0,17,54.01,10
28, 재동초교 앞 삼거리,종로구,37.57938766,126.9849472,1,4,1,24,126.35,8
29, 포르투갈 대사관 앞,종로구,37.57915497,126.9889603,1,1,0,53,140.84,10
30, 서울사대부속초교 앞,종로구,37.57650757,127.0024567,0,5,0,0,181.38,15
31, KT혜화지사 앞,종로구,37.57714462,127.0020599,0,3,0,0,97.96,15
32, 성대입구 사거리,종로구,37.58250046,126.9985352,0,2,0,211,191.73,13
