,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동
0, 경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞,37.57579422,126.9714508,사직로12길,내자동
1, 경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.9740601,사직로,적선동
2, 광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189 세종로공원,37.57176971,126.9746628,세종대로23길,당주동
3, 종로구청 옆,종로구,서울특별시 종로구 세종로 84-1,37.57255936,126.9783325,종로1길,세종로
4, 서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55 서울역사박물관 앞,37.56999969,126.9710999,경희궁1길,신문로2가
5, 광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82 광화문S타워 앞,37.56996918,126.973938,덕수궁길,신문로1가
6, 광화문역 6번출구 옆 B,종로구,서울특별시 종로구 새문안로 102-2 가로판매대,37.56996155,126.9761581,세종대로21길,신문로1가
7, 국립현대미술관,종로구,서울특별시 종로구 삼청로 30 국립현대미술관 서울관,37.5797081,126.9808579,삼청로2길,소격동
8, 종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.9817886,종로7길,종로1가
9, 안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.57624054,126.9861603,율곡로,경운동
10, 낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.57335663,126.9874649,인사동4길,낙원동
11, 탑골공원 앞,종로구,서울특별시 종로구 종로 99 탑골공원 앞,37.57039642,126.9881897,삼일대로20길,종로2가
12, 청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93 파고다타워,37.56848526,126.9878845,청계천로,관철동
13, 종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.5705986,126.9917908,수표로22길,종로3가
