gid,lbl,val,geometry
다사469469,373.00,373.0,"POLYGON ((126.89909744408646 37.51986688942071, 126.89909021575419 37.52076820328105, 126.90022181576524 37.52077395532037, 126.90022903048751 37.51987264127389, 126.89909744408646 37.51986688942071))"
다사466473,48.00,48.0,"POLYGON ((126.89567360822593 37.5234548211821, 126.89566633776845 37.52435613392554, 126.89679799125763 37.524361919236604, 126.89680524810271 37.52346060630596, 126.89567360822593 37.5234548211821))"
다사471472,28.00,28.0,"POLYGON ((126.90133901291081 37.522582324566045, 126.9013318108362 37.52348363838111, 126.9024634523231 37.523489369294786, 126.90247064078586 37.52258805529426, 126.90133901291081 37.522582324566045))"
다사479468,53.00,53.0,"POLYGON ((126.91042041440083 37.519022604277374, 126.91041332248517 37.519923920122395, 126.91154491207249 37.51992956356871, 126.91155199037861 37.51902824754107, 126.91042041440083 37.519022604277374))"
다사478439,58.00,58.0,"POLYGON ((126.90949476135488 37.49287873549697, 126.90948766500195 37.49378005519068, 126.91061885984293 37.49378570417306, 126.91062594260386 37.49288438429651, 126.90949476135488 37.49287873549697))"
다사480444,638.00,638.0,"POLYGON ((126.91172177517474 37.49739662117113, 126.91171470443132 37.49829794053516, 126.91284596787166 37.49830356876725, 126.91285302502008 37.497402249221025, 126.91172177517474 37.49739662117113))"
다사502470,607.00,607.0,"POLYGON ((126.93643318249624 37.520952296482136, 126.93642640299994 37.521853616160996, 126.93755802690734 37.52185901061712, 126.93756479279254 37.5209576907637, 126.93643318249624 37.520952296482136))"
다사470447,463.00,463.0,"POLYGON ((126.90038767310064 37.500043697067056, 126.90038046544475 37.50094501417294, 126.90151176649672 37.50095075128489, 126.9015189605559 37.50004943399331, 126.90038767310064 37.500043697067056))"
다사473471,224.00,224.0,"POLYGON ((126.90360944351241 37.52169246085609, 126.90360226898113 37.522593775180766, 126.90473389749594 37.522599484225545, 126.904741058416 37.52169816971612, 126.90360944351241 37.52169246085609))"
다사454468,757.00,757.0,"POLYGON ((126.88213111919563 37.518877999586884, 126.88212368704619 37.519779310752156, 126.8832552685541 37.51978522521386, 126.88326268709439 37.518883913857174, 126.88213111919563 37.518877999586884))"
다사453473,247.00,247.0,"POLYGON ((126.88096231951812 37.52337862795256, 126.88095487210104 37.524279938230315, 126.88208652133275 37.52428586449132, 126.88209395513768 37.52338455402178, 126.88096231951812 37.52337862795256))"
다사503471,479.00,479.0,"POLYGON ((126.93755802690734 37.52185901061712, 126.93755126072075 37.52276033033161, 126.93868289854124 37.5227657141203, 126.9386896511161 37.5218643942316, 126.93755802690734 37.52185901061712))"
다사468469,N/A,0.0,"POLYGON ((126.89796585800741 37.51986112672689, 126.89795861606514 37.52076244040074, 126.89909021575419 37.52076820328105, 126.89909744408646 37.51986688942071, 126.89796585800741 37.51986112672689))"
다사478452,393.00,393.0,"POLYGON ((126.90940248410887 37.50459588067221, 126.9093953836458 37.50549719855873, 126.91052675523743 37.505502849918614, 126.91053384210066 37.504601531849175, 126.90940248410887 37.50459588067221))"
다사469447,377.00,377.0,"POLYGON ((126.8992563859664 37.50003794930788, 126.89924916471384 37.500939266227704, 126.90038046544475 37.50094501417294, 126.90038767310064 37.500043697067056, 126.8992563859664 37.50003794930788))"
다사487450,453.00,453.0,"POLYGON ((126.91959867254307 37.50284371175543, 126.91959169510069 37.503745031553485, 126.92072304231216 37.50375058503748, 126.92073000615581 37.502849265059666, 126.91959867254307 37.50284371175543))"
다사476448,213.00,213.0,"POLYGON ((126.90716827655095 37.50097927434512, 126.90716115015802 37.501880592420875, 126.90829246672091 37.50188626471654, 126.90829957951644 37.500984946457194, 126.90716827655095 37.50097927434512))"
다사480466,510.00,510.0,"POLYGON ((126.91156614604499 37.51722561506869, 126.91155906836943 37.518126931374404, 126.91269063105356 37.51813256361542, 126.91269769512078 37.51723124712744, 126.91156614604499 37.51722561506869))"
다사466437,209.00,209.0,"POLYGON ((126.89593512913368 37.491007469788364, 126.89592787032497 37.49190878753859, 126.89705903415009 37.49191456611284, 126.89706627936822 37.49101324817557, 126.89593512913368 37.491007469788364))"
다사465446,103.00,103.0,"POLYGON ((126.89473851596686 37.49911353363081, 126.89473124065178 37.50001484994204, 126.89586252649589 37.50002064103284, 126.89586978821492 37.49911932453418, 126.89473851596686 37.49911353363081))"
다사468449,381.00,381.0,"POLYGON ((126.8981106291331 37.501834824043584, 126.89810339363936 37.50273614049892, 126.89923472124377 37.50274189965022, 126.89924194313964 37.50184058300849, 126.8981106291331 37.501834824043584))"
다사474476,689.00,689.0,"POLYGON ((126.90470525062595 37.526204740872636, 126.90469808811088 37.52710605468674, 126.90582978501024 37.52711175381182, 126.90583693391099 37.5262104398133, 126.90470525062595 37.526204740872636))"
다사470460,264.00,264.0,"POLYGON ((126.90029394852866 37.51176080859721, 126.90028673669806 37.51266212389534, 126.90141821456213 37.51266786342169, 126.90142541278814 37.51176654793783, 126.90029394852866 37.51176080859721))"
다사463459,N/A,0.0,"POLYGON ((126.89238101447704 37.5108190156366, 126.8923737077404 37.511720329763754, 126.8935051697386 37.51172614496658, 126.8935124628714 37.51082483065123, 126.89238101447704 37.5108190156366))"
다사456471,766.00,766.0,"POLYGON ((126.88437203954071 37.52159375151308, 126.88436463362005 37.522495062643394, 126.88549625661949 37.52250095599619, 126.88550364892916 37.52159964467517, 126.88437203954071 37.52159375151308))"
다사475464,N/A,0.0,"POLYGON ((126.90592269588643 37.515394660984484, 126.90591555080589 37.51629597665168, 126.90704708469165 37.51630166272476, 126.90705421616515 37.51540034687354, 126.90592269588643 37.515394660984484))"
다사468465,437.00,437.0,"POLYGON ((126.8979948225509 37.516255870640634, 126.89798758189883 37.51715718487082, 126.89911912715158 37.51716294700518, 126.89912635419608 37.51626163258852, 126.8979948225509 37.516255870640634))"
다사484463,63.00,63.0,"POLYGON ((126.91611341208281 37.514544126333384, 126.91610638977917 37.5154454437831, 126.9172379128949 37.51545103212129, 126.91724492159194 37.514549714490734, 126.91611341208281 37.514544126333384))"
다사496469,N/A,0.0,"POLYGON ((126.92965038793811 37.520018384362956, 126.92964352708117 37.52091970312599, 126.93077513555652 37.520925162455164, 126.93078198280305 37.52002384351545, 126.92965038793811 37.520018384362956))"
다사471441,299.00,299.0,"POLYGON ((126.90156211818275 37.49464152732397, 126.90155492604586 37.49554284544979, 126.90268614584711 37.495548570616464, 126.90269332439094 37.49464725230532, 126.90156211818275 37.49464152732397))"
다사476450,661.00,661.0,"POLYGON ((126.9071540234477 37.50278191035762, 126.9071468964199 37.50368322815532, 126.90827824017936 37.50368890081819, 126.90828535360855 37.50278758283689, 126.9071540234477 37.50278191035762))"
다사460476,301.00,301.0,"POLYGON ((126.88886171841023 37.52612381717808, 126.88885436529621 37.527025128373495, 126.88998605767368 37.52703097930656, 126.88999339717357 37.526129667921815, 126.88886171841023 37.52612381717808))"
