,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter
0, 경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞,37.57579422,126.9714508,사직로12길,내자동,경복궁,183.7,0,서울경찰청.경복궁역,6.2
1, 경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.9740601,사직로,적선동,경복궁,51.1,0,경복궁역(효자로입구),76.2
2, 광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189 세종로공원,37.57176971,126.9746628,세종대로23길,당주동,광화문,195.5,0,광화문,161.8
3, 종로구청 옆,종로구,서울특별시 종로구 세종로 84-1,37.57255936,126.9783325,종로1길,세종로,광화문,224.9,0,KT광화문지사,95.8
4, 서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55 서울역사박물관 앞,37.56999969,126.9710999,경희궁1길,신문로2가,광화문,505.0,3,서울역사박물관.경교장.강북삼성병원,13.3
5, 광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82 광화문S타워 앞,37.56996918,126.973938,덕수궁길,신문로1가,광화문,268.3,0,광화문.금호아시아나본관앞,22.1
6, 광화문역 6번출구 옆 B,종로구,서울특별시 종로구 새문안로 102-2 가로판매대,37.56996155,126.9761581,세종대로21길,신문로1가,광화문,126.5,0,광화문역,9.3
7, 국립현대미술관,종로구,서울특별시 종로구 삼청로 30 국립현대미술관 서울관,37.5797081,126.9808579,삼청로2길,소격동,안국,541.0,2,정독도서관,79.0
8, 종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.9817886,종로7길,종로1가,종각,103.6,2,종로1가,38.5
9, 안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.57624054,126.9861603,율곡로,경운동,안국,68.6,0,안국역.인사동,56.0
10, 낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.57335663,126.9874649,인사동4길,낙원동,안국,389.7,0,낙원상가,38.8
11, 탑골공원 앞,종로구,서울특별시 종로구 종로 99 탑골공원 앞,37.57039642,126.9881897,삼일대로20길,종로2가,종로3가,346.6,1,인사동.탑골공원,62.3
12, 청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93 파고다타워,37.56848526,126.9878845,청계천로,관철동,을지로3가,430.8,0,청계2가교차로,0.8
13, 종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.5705986,126.9917908,수표로22길,종로3가,종로3가,111.9,1,종로3가.1.3.5호선,62.9
14, 종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129 15번출구 앞,37.57019806,126.9912567,종로18길,종로3가,종로3가,163.7,1,종로3가,25.6
15, 창경궁 입구,종로구,서울특별시 종로구 창경궁로 185 창경궁 입구,37.57897949,126.9964752,창경궁로,와룡동,혜화,603.1,0,창경궁,10.8
16, 세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109 세운스퀘어 앞,37.57095718,126.9971237,창경궁로13길,종로4가,을지로4가,453.7,0,종로4가,63.3
17, 종로4가 사거리,종로구,서울특별시 종로구 종로 185 종로4가 사거리,37.57106781,126.9981918,종로,종로4가,종로5가,323.5,1,종로5가.광장시장,67.6
18, 혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1 혜화동 로터리,37.58562851,127.000679,혜화로,혜화동,혜화,379.6,0,혜화동로터리,15.6
19, 혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤,37.58156967,127.0017853,대학로,명륜4가,혜화,85.2,0,혜화역3번출구,41.1
20, 대학로 마로니에공원,종로구,서울특별시 종로구 대학로 104 대학로 마로니에공원,37.57978439,127.002533,대학로,동숭동,혜화,289.7,2,방송통신대앞,129.7
21, 예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 충신동 60,37.57561111,127.0046997,율곡로,충신동,종로5가,577.8,0,충신시장,94.0
22, 성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.57403564,127.0067215,율곡로,충신동,동대문,394.5,0,충신동,39.1
23, 서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.0007095,종로31가길,연지동,종로5가,282.8,1,종로5가.효제초등학교,135.4
24, 독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.9607849,통일로,교북동,독립문,389.3,1,교남동주민센터,45.8
25, 사직동주민센터,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.9685898,사직로9가길,사직동,경복궁,441.0,1,사직동주민센터,30.4
