"아이디","새주소 아이디","시설 아이디","시설명","위도","경도","건물군여부","시설용도분류","소재지 도로명주소","소재지 지번주소","기타","국가지점번호","데이터 기준일자"
"3007","","P0877","꿈동산어린이공원","37.650288","127.03686","BG_AA","FU_BI","서울특별시 도봉구 도봉로110나길 99","서울특별시 도봉구 창동 663-1","","다사 5914 6130","2022-12-07 00:00:00.0"
"3008","","P0878","미화어린이공원","37.654945","127.03969","BG_AA","FU_BI","서울특별시 도봉구 도봉로 564","서울특별시 도봉구 창동 715-17","","다사 5939 6181","2022-12-07 00:00:00.0"
"3009","","P0879","꿈동산어린이공원","37.57329","127.04584","BG_AA","FU_BI","서울특별시 동대문구 황물로 42","서울특별시 동대문구 답십리동 1002-1","","다사 5989 5275","2022-12-07 00:00:00.0"
"3010","","P0880","새움어린이공원","37.57076","127.048676","BG_AA","FU_BI","서울특별시 동대문구 천호대로55길 11","서울특별시 동대문구 답십리동 1009-1","","다사 6014 5247","2022-12-07 00:00:00.0"
"3012","","P0882","동산어린이공원","37.566967","127.05754","BG_AA","FU_BI","서울특별시 동대문구 전농로2나길 7","서울특별시 동대문구 답십리동 998-1","","다사 6092 5204","2022-12-07 00:00:00.0"
"3013","","P0883","우산각어린이공원","37.57345","127.02443","BG_AA","FU_BI","서울특별시 동대문구 천호대로4길 22","서울특별시 동대문구 신설동 109-4","","다사 5800 5278","2022-12-07 00:00:00.0"
"31","","B0031","주양쇼핑","37.55252","127.153496","BG_AB","FU_BA","서울특별시 강동구 고덕로62길 55","서울특별시 강동구 명일동 48","공사중","다사 6939 5040","2022-12-07 00:00:00.0"
"308","","B0308","에이피엠 플레이스","37.565273","127.00841","BG_AB","FU_BA","서울특별시 중구 을지로 276","서울특별시 중구 을지로7가 105","라모도쇼핑몰이 에이피엠 플레이스로 변경됨","다사 5658 5188","2022-12-07 00:00:00.0"
"2177","","P0047","강일공원","37.56955","127.17451","BG_AA","FU_BI","서울특별시 강동구 아리수로97길 68","서울특별시 강동구 강일동 332-5","","다사 7125 5229","2022-12-07 00:00:00.0"
"2179","","P0049","능골근린공원","37.556427","127.174545","BG_AA","FU_BI","","서울특별시 강동구 상일동 536","","다사 7125 5083","2022-12-07 00:00:00.0"
"2180","","P0050","벌말공원","37.560326","127.17666","BG_AA","FU_BI","서울특별시 강동구 아리수로94길 72","서울특별시 강동구 강일동 700","","다사 7144 5126","2022-12-07 00:00:00.0"
"2184","","P0054","동명공원","37.561466","127.16493","BG_AA","FU_BI","서울특별시 강동구 아리수로78길 23","서울특별시 강동구 고덕동 229","","다사 7040 5139","2022-12-07 00:00:00.0"
"2185","","P0055","샘터공원","37.561546","127.15907","BG_AA","FU_BI","","서울특별시 강동구 고덕동 287","","다사 6988 5140","2022-12-07 00:00:00.0"
"2186","","P0056","방죽공원","37.558132","127.15808","BG_AA","FU_BI","서울특별시 강동구 고덕로 295-45","서울특별시 강동구 고덕동 296","","다사 6980 5103","2022-12-07 00:00:00.0"
"2139","","P0009","늘벗근린공원","37.48957","127.05716","","FU_BI","","서울특별시 강남구 대치동 501","","다사 6085 4346","2022-12-07 00:00:00.0"
"2188","","P0058","일자산공원","37.53302","127.15136","BG_AA","FU_BI","서울특별시 강동구 동남로 660","서울특별시 강동구 둔촌동 산 125","","다사 6919 4824","2022-12-07 00:00:00.0"
"2192","","P0062","상일공원","37.54755","127.168396","BG_AA","FU_BI","서울특별시 강동구 상암로79길 88","서울특별시 강동구 상일동 188","","다사 7070 4985","2022-12-07 00:00:00.0"
"2194","","P0064","솜다래공원","37.55368","127.14127","BG_AA","FU_BI","서울특별시 강동구 고덕로38길 8","서울특별시 강동구 암사동 413-4","","다사 6831 5054","2022-12-07 00:00:00.0"
"2196","","P0066","암사공원","37.556423","127.14172","BG_AA","FU_BI","서울특별시 강동구 고덕로 131","서울특별시 강동구 암사동 414-20","","다사 6835 5084","2022-12-07 00:00:00.0"
"2197","","P0067","오동근린공원","37.629242","127.03305","BG_AA","FU_BI","","서울특별시 강북구 번동 산 20-1","","다사 5879 5896","2022-12-07 00:00:00.0"
